authored_date,committed_date,before_or_after,id_issue
2020-10-30T15:09:28Z,2020-10-30T15:09:28Z,before,732267627
2020-10-30T12:52:32Z,2020-10-30T12:52:40Z,before,732267627
2020-10-30T12:49:14Z,2020-10-30T12:50:20Z,before,732267627
2020-10-30T12:35:18Z,2020-10-30T12:50:20Z,before,732267627
2020-10-30T12:30:54Z,2020-10-30T12:50:20Z,before,732267627
2020-10-30T11:04:27Z,2020-10-30T12:50:19Z,before,732267627
2020-10-30T02:26:34Z,2020-10-30T02:26:34Z,before,732267627
2020-10-29T18:44:27Z,2020-10-29T18:44:27Z,before,732267627
2020-10-29T18:29:06Z,2020-10-29T18:29:06Z,before,732267627
2020-10-29T18:04:02Z,2020-10-29T18:04:02Z,before,732267627
2020-10-29T18:00:05Z,2020-10-29T18:00:05Z,before,732267627
2020-10-29T17:54:01Z,2020-10-29T17:54:01Z,before,732267627
2020-10-29T17:51:34Z,2020-10-29T17:51:34Z,before,732267627
2020-10-29T17:50:21Z,2020-10-29T17:50:21Z,before,732267627
2020-10-29T14:55:31Z,2020-10-29T14:55:31Z,before,732267627
2020-10-29T14:53:10Z,2020-10-29T14:53:10Z,before,732267627
2020-10-29T14:44:07Z,2020-10-29T14:44:07Z,before,732267627
2020-10-29T14:27:38Z,2020-10-29T14:29:46Z,before,732267627
2020-10-29T14:16:50Z,2020-10-29T14:16:50Z,before,732267627
2020-10-29T13:52:56Z,2020-10-29T13:52:56Z,before,732267627
2020-10-29T12:56:35Z,2020-10-29T12:56:35Z,before,732267627
2020-10-28T14:13:32Z,2020-10-29T12:27:50Z,before,732267627
2020-10-28T15:28:58Z,2020-10-28T15:28:58Z,before,732267627
2020-10-28T14:23:42Z,2020-10-28T14:23:42Z,before,732267627
2020-10-28T14:01:13Z,2020-10-28T14:01:13Z,before,732267627
2020-10-28T13:45:21Z,2020-10-28T13:47:14Z,before,732267627
2020-10-28T12:22:56Z,2020-10-28T12:22:56Z,before,732267627
2020-10-27T20:10:45Z,2020-10-27T20:10:45Z,before,732267627
2020-10-27T20:07:39Z,2020-10-27T20:07:43Z,before,732267627
2020-10-27T19:07:37Z,2020-10-27T19:07:37Z,before,732267627
2020-10-27T16:55:36Z,2020-10-27T16:55:36Z,before,732267627
2020-10-27T15:46:19Z,2020-10-27T15:48:18Z,before,732267627
2020-10-27T15:33:06Z,2020-10-27T15:36:22Z,before,732267627
2020-10-27T15:30:32Z,2020-10-27T15:30:32Z,before,732267627
2020-10-27T15:26:36Z,2020-10-27T15:26:36Z,before,732267627
2020-10-27T15:11:28Z,2020-10-27T15:11:54Z,before,732267627
2020-10-26T21:54:39Z,2020-10-27T14:50:03Z,before,732267627
2020-10-27T14:44:21Z,2020-10-27T14:44:21Z,before,732267627
2020-10-27T13:30:00Z,2020-10-27T13:30:00Z,before,732267627
2020-10-25T17:07:06Z,2020-10-25T20:11:59Z,before,732267627
2020-10-25T15:13:54Z,2020-10-25T15:14:10Z,before,732267627
2020-10-25T13:36:42Z,2020-10-25T13:37:08Z,before,732267627
2020-10-25T13:36:11Z,2020-10-25T13:37:08Z,before,732267627
2020-10-24T17:29:49Z,2020-10-24T17:29:49Z,before,732267627
2020-10-24T17:07:06Z,2020-10-24T17:07:15Z,before,732267627
2020-10-24T13:32:06Z,2020-10-24T13:32:20Z,before,732267627
2020-10-24T03:15:45Z,2020-10-24T03:16:02Z,before,732267627
2020-10-23T21:59:24Z,2020-10-23T21:59:35Z,before,732267627
2020-10-23T20:57:11Z,2020-10-23T20:57:11Z,before,732267627
2020-10-23T20:38:40Z,2020-10-23T20:38:40Z,before,732267627
2020-10-23T20:33:48Z,2020-10-23T20:33:48Z,before,732267627
2020-10-23T20:32:06Z,2020-10-23T20:32:06Z,before,732267627
2020-10-23T20:16:21Z,2020-10-23T20:16:21Z,before,732267627
2020-10-23T20:13:06Z,2020-10-23T20:13:15Z,before,732267627
2020-10-23T20:11:57Z,2020-10-23T20:11:57Z,before,732267627
2020-10-23T19:15:39Z,2020-10-23T19:15:39Z,before,732267627
2020-10-23T18:40:28Z,2020-10-23T18:40:28Z,before,732267627
2020-10-23T16:28:05Z,2020-10-23T16:28:05Z,before,732267627
2020-10-23T16:26:29Z,2020-10-23T16:26:29Z,before,732267627
2020-10-23T16:19:01Z,2020-10-23T16:19:01Z,before,732267627
2020-10-23T15:29:32Z,2020-10-23T15:29:39Z,before,732267627
2020-10-23T15:13:21Z,2020-10-23T15:13:21Z,before,732267627
2020-10-23T14:11:32Z,2020-10-23T14:13:31Z,before,732267627
2020-10-23T14:04:07Z,2020-10-23T14:04:07Z,before,732267627
2020-10-23T13:56:44Z,2020-10-23T14:01:58Z,before,732267627
2020-10-23T13:59:12Z,2020-10-23T13:59:37Z,before,732267627
2020-10-23T13:43:12Z,2020-10-23T13:59:37Z,before,732267627
2020-10-23T13:24:04Z,2020-10-23T13:59:36Z,before,732267627
2020-10-23T13:18:42Z,2020-10-23T13:59:36Z,before,732267627
2020-10-23T13:41:18Z,2020-10-23T13:41:18Z,before,732267627
2020-10-23T13:24:47Z,2020-10-23T13:27:21Z,before,732267627
2020-10-23T12:40:54Z,2020-10-23T12:41:28Z,before,732267627
2020-10-23T11:47:47Z,2020-10-23T11:47:47Z,before,732267627
2020-10-23T03:22:14Z,2020-10-23T03:22:14Z,before,732267627
2020-10-23T03:15:19Z,2020-10-23T03:15:19Z,before,732267627
2020-10-23T03:11:15Z,2020-10-23T03:11:15Z,before,732267627
2020-10-23T02:55:50Z,2020-10-23T02:55:50Z,before,732267627
2020-10-23T02:39:50Z,2020-10-23T02:52:54Z,before,732267627
2020-10-23T02:38:58Z,2020-10-23T02:52:54Z,before,732267627
2020-10-23T02:38:44Z,2020-10-23T02:52:54Z,before,732267627
2020-10-23T02:34:30Z,2020-10-23T02:52:27Z,before,732267627
2020-10-23T02:34:12Z,2020-10-23T02:52:27Z,before,732267627
2020-10-23T02:32:40Z,2020-10-23T02:52:26Z,before,732267627
2020-10-22T16:32:28Z,2020-10-22T16:32:28Z,before,732267627
2020-10-22T14:37:02Z,2020-10-22T14:48:27Z,before,732267627
2020-10-22T09:27:43Z,2020-10-22T09:27:43Z,before,732267627
2020-10-22T00:18:09Z,2020-10-22T00:18:09Z,before,732267627
2020-10-07T22:12:26Z,2020-10-21T19:52:10Z,before,732267627
2020-10-21T19:22:11Z,2020-10-21T19:22:11Z,before,732267627
2020-10-21T14:49:40Z,2020-10-21T19:21:40Z,before,732267627
2020-10-20T17:35:39Z,2020-10-21T19:21:40Z,before,732267627
2020-10-21T19:01:19Z,2020-10-21T19:01:19Z,before,732267627
2020-10-21T18:09:04Z,2020-10-21T18:12:37Z,before,732267627
2020-10-07T21:33:27Z,2020-10-21T14:24:49Z,before,732267627
2020-10-21T13:30:18Z,2020-10-21T13:30:18Z,before,732267627
2020-10-20T23:02:10Z,2020-10-21T13:13:09Z,before,732267627
2020-10-15T07:27:19Z,2020-10-20T17:30:24Z,before,732267627
2020-10-13T13:24:58Z,2020-10-20T17:30:24Z,before,732267627
2020-10-20T13:44:18Z,2020-10-20T17:29:32Z,before,732267627
2020-10-20T12:48:41Z,2020-10-20T17:29:32Z,before,732267627
2020-10-20T12:00:27Z,2020-10-20T17:29:32Z,before,732267627
2020-10-20T10:55:36Z,2020-10-20T17:29:32Z,before,732267627
2020-10-20T14:59:33Z,2020-10-20T17:29:15Z,before,732267627
2020-10-20T03:49:46Z,2020-10-20T03:49:46Z,before,732267627
2020-10-20T01:36:46Z,2020-10-20T01:36:46Z,before,732267627
2020-10-19T18:07:35Z,2020-10-20T01:12:11Z,before,732267627
2020-10-19T17:29:33Z,2020-10-19T17:29:33Z,before,732267627
2020-10-19T17:28:49Z,2020-10-19T17:28:49Z,before,732267627
2020-10-19T13:19:17Z,2020-10-19T13:19:27Z,before,732267627
2020-10-19T13:10:57Z,2020-10-19T13:10:57Z,before,732267627
2020-10-19T13:09:43Z,2020-10-19T13:09:43Z,before,732267627
2020-10-19T13:08:52Z,2020-10-19T13:08:52Z,before,732267627
2020-10-16T08:14:33Z,2020-10-19T13:07:21Z,before,732267627
2020-10-16T18:21:52Z,2020-10-16T18:21:52Z,before,732267627
2020-10-16T16:19:44Z,2020-10-16T16:22:05Z,before,732267627
2020-10-16T14:27:46Z,2020-10-16T16:22:05Z,before,732267627
2020-10-16T14:15:57Z,2020-10-16T16:22:05Z,before,732267627
2020-10-16T14:51:15Z,2020-10-16T14:51:15Z,before,732267627
2020-10-16T14:41:26Z,2020-10-16T14:41:34Z,before,732267627
2020-10-16T14:41:18Z,2020-10-16T14:41:34Z,before,732267627
2020-10-16T13:30:23Z,2020-10-16T13:30:45Z,before,732267627
2020-10-16T13:28:23Z,2020-10-16T13:28:23Z,before,732267627
2020-10-16T04:34:34Z,2020-10-16T04:34:34Z,before,732267627
2020-10-15T23:50:01Z,2020-10-15T23:50:26Z,before,732267627
2020-10-15T23:49:12Z,2020-10-15T23:49:12Z,before,732267627
2020-10-15T19:18:43Z,2020-10-15T19:18:43Z,before,732267627
2020-10-15T19:18:37Z,2020-10-15T19:18:37Z,before,732267627
2020-10-15T19:18:16Z,2020-10-15T19:18:16Z,before,732267627
2020-10-15T15:44:41Z,2020-10-15T15:44:41Z,before,732267627
2020-10-15T14:51:01Z,2020-10-15T14:51:01Z,before,732267627
2020-10-15T13:56:32Z,2020-10-15T13:56:32Z,before,732267627
2020-10-15T13:51:50Z,2020-10-15T13:51:50Z,before,732267627
2020-10-15T13:47:18Z,2020-10-15T13:47:31Z,before,732267627
2020-10-15T13:40:09Z,2020-10-15T13:45:00Z,before,732267627
2020-10-15T13:23:26Z,2020-10-15T13:23:26Z,before,732267627
2020-10-15T12:43:41Z,2020-10-15T12:43:41Z,before,732267627
2020-10-15T12:37:42Z,2020-10-15T12:37:42Z,before,732267627
2020-10-15T12:34:36Z,2020-10-15T12:34:36Z,before,732267627
2020-10-14T17:47:47Z,2020-10-14T20:22:58Z,before,732267627
2020-10-14T18:33:19Z,2020-10-14T18:33:19Z,before,732267627
2020-10-14T17:49:21Z,2020-10-14T17:49:21Z,before,732267627
2020-10-14T17:47:44Z,2020-10-14T17:47:44Z,before,732267627
2020-10-14T17:46:55Z,2020-10-14T17:46:55Z,before,732267627
2020-10-14T14:24:19Z,2020-10-14T14:24:19Z,before,732267627
2020-10-14T13:40:40Z,2020-10-14T13:40:40Z,before,732267627
2020-10-14T03:28:09Z,2020-10-14T03:28:09Z,before,732267627
2020-10-14T03:25:28Z,2020-10-14T03:25:28Z,before,732267627
2020-10-14T01:04:05Z,2020-10-14T01:04:05Z,before,732267627
2020-10-14T00:55:13Z,2020-10-14T00:55:13Z,before,732267627
2020-10-13T22:25:23Z,2020-10-13T22:32:11Z,before,732267627
2020-10-13T20:20:45Z,2020-10-13T20:27:18Z,before,732267627
2020-10-13T19:22:51Z,2020-10-13T20:27:18Z,before,732267627
2020-10-13T13:32:10Z,2020-10-13T20:27:18Z,before,732267627
2020-10-13T13:14:34Z,2020-10-13T20:27:18Z,before,732267627
2020-10-13T18:02:59Z,2020-10-13T19:08:48Z,before,732267627
2020-10-11T21:42:28Z,2020-10-13T18:46:38Z,before,732267627
2020-10-11T21:29:28Z,2020-10-13T18:46:38Z,before,732267627
2020-10-13T13:22:57Z,2020-10-13T13:22:57Z,before,732267627
2020-10-13T13:14:31Z,2020-10-13T13:14:36Z,before,732267627
2020-10-13T13:08:06Z,2020-10-13T13:10:18Z,before,732267627
2020-10-13T13:07:54Z,2020-10-13T13:10:18Z,before,732267627
2020-10-13T00:16:03Z,2020-10-13T02:17:22Z,before,732267627
2020-10-12T16:48:47Z,2020-10-12T16:48:47Z,before,732267627
2020-10-12T16:19:08Z,2020-10-12T16:19:08Z,before,732267627
2020-10-12T12:56:35Z,2020-10-12T13:04:58Z,before,732267627
2020-10-11T16:27:59Z,2020-10-11T16:27:59Z,before,732267627
2020-10-11T12:25:38Z,2020-10-11T12:25:38Z,before,732267627
2020-10-11T11:28:19Z,2020-10-11T11:28:19Z,before,732267627
2020-10-11T11:22:50Z,2020-10-11T11:28:01Z,before,732267627
2020-10-10T19:58:45Z,2020-10-10T19:58:45Z,before,732267627
2020-10-10T14:48:10Z,2020-10-10T15:10:16Z,before,732267627
2020-10-10T12:46:02Z,2020-10-10T12:46:02Z,before,732267627
2020-10-09T19:34:07Z,2020-10-09T20:01:55Z,before,732267627
2020-10-09T18:48:54Z,2020-10-09T20:01:55Z,before,732267627
2020-10-09T01:41:20Z,2020-10-09T14:29:53Z,before,732267627
2020-10-09T13:05:37Z,2020-10-09T13:05:37Z,before,732267627
2020-10-09T11:35:09Z,2020-10-09T11:45:40Z,before,732267627
2020-10-08T21:10:22Z,2020-10-09T11:45:39Z,before,732267627
2020-10-08T20:07:06Z,2020-10-09T11:45:39Z,before,732267627
2020-10-09T01:14:33Z,2020-10-09T01:26:01Z,before,732267627
2020-10-08T21:12:40Z,2020-10-08T21:12:40Z,before,732267627
2020-10-08T20:53:06Z,2020-10-08T20:53:06Z,before,732267627
2020-10-08T20:52:46Z,2020-10-08T20:52:46Z,before,732267627
2020-10-08T20:49:41Z,2020-10-08T20:49:49Z,before,732267627
2020-10-08T19:55:25Z,2020-10-08T19:55:25Z,before,732267627
2020-10-08T19:54:30Z,2020-10-08T19:54:30Z,before,732267627
2020-10-08T19:52:32Z,2020-10-08T19:52:32Z,before,732267627
2020-10-08T19:47:47Z,2020-10-08T19:47:47Z,before,732267627
2020-10-08T18:55:33Z,2020-10-08T18:55:33Z,before,732267627
2020-10-08T18:54:13Z,2020-10-08T18:54:19Z,before,732267627
2020-10-08T18:44:58Z,2020-10-08T18:54:19Z,before,732267627
